1,Explain function 1 in JavaScript.,1,Text
2,What does tag 2 do?,2,MCQ
3,Is statement 3 true?,2,TF
4,What does tag 4 do?,1,MCQ
5,Explain function 5 in JavaScript.,1,Text
6,Is statement 6 true?,1,TF
7,Explain function 7 in JavaScript.,1,Text
8,What does tag 8 do?,2,MCQ
9,Is statement 9 true?,3,TF
10,What does tag 10 do?,1,MCQ
11,Explain function 11 in JavaScript.,1,Text
12,Is statement 12 true?,1,TF
13,Explain function 13 in JavaScript.,1,Text
14,What does tag 14 do?,1,MCQ
15,Is statement 15 true?,1,TF
16,What does tag 16 do?,1,MCQ
17,Explain function 17 in JavaScript.,2,Text
18,Is statement 18 true?,3,TF
19,Explain function 19 in JavaScript.,3,Text
20,What does tag 20 do?,1,MCQ
21,Is statement 21 true?,1,TF
22,What does tag 22 do?,2,MCQ
23,Explain function 23 in JavaScript.,2,Text
24,Is statement 24 true?,3,TF
25,Explain function 25 in JavaScript.,3,Text
26,What does tag 26 do?,1,MCQ
27,Is statement 27 true?,2,TF
28,What does tag 28 do?,3,MCQ
29,Explain function 29 in JavaScript.,1,Text
30,Is statement 30 true?,2,TF
31,Explain function 31 in JavaScript.,3,Text
32,What does tag 32 do?,1,MCQ
33,Is statement 33 true?,3,TF
34,What does tag 34 do?,2,MCQ
35,Explain function 35 in JavaScript.,3,Text
36,Is statement 36 true?,1,TF
37,Explain function 37 in JavaScript.,2,Text
38,What does tag 38 do?,2,MCQ
39,Is statement 39 true?,1,TF
40,What does tag 40 do?,3,MCQ
41,Explain function 41 in JavaScript.,2,Text
42,Is statement 42 true?,2,TF
43,Explain function 43 in JavaScript.,1,Text
44,What does tag 44 do?,3,MCQ
45,Is statement 45 true?,1,TF
46,What does tag 46 do?,3,MCQ
47,Explain function 47 in JavaScript.,2,Text
48,Is statement 48 true?,2,TF
49,Explain function 49 in JavaScript.,2,Text
50,What does tag 50 do?,2,MCQ
